frame,start,end,repeat
0,70294,70295,0
1,70295,70296,0
2,70296,70297,0
3,70297,70298,0
4,70298,70299,0
5,70299,70300,0
6,70300,70301,0
7,70301,70302,0
8,70302,70303,0
9,70303,70304,0
10,70305,70305,0
11,70306,70306,0
12,70307,70307,0
13,70308,70308,0
14,70309,70309,0
15,70310,70310,0
16,70311,70311,0
17,70312,70312,0
18,70313,70313,0
19,70314,70314,0
20,70315,70315,0
21,70316,70316,0
22,70317,70317,0
23,70318,70318,0
24,70319,70319,0
25,70320,70320,0
26,70321,70321,0
27,70322,70322,0
28,70323,70323,0
29,70324,70324,0
30,70325,70325,0
31,70326,70326,0
32,70327,70327,0
33,70328,70328,0
34,70329,70329,0
35,70330,70330,0
36,70331,70331,0
37,70332,70332,0
38,70333,70333,0
39,70334,70334,0
40,70335,70335,0
41,70336,70336,0
42,70337,70337,0
43,70338,70338,0
44,70339,70339,0
45,70340,70340,0
46,70341,70341,0
47,70342,70342,0
48,70343,70343,0
49,70344,70344,0
50,70345,70345,0
51,70346,70346,0
52,70347,70347,0
53,70348,70348,0
54,70349,70349,0
55,70350,70350,0
56,70351,70351,0
57,70352,70352,0
58,70353,70353,0
59,70354,70354,0
60,70355,70355,0
61,70356,70356,0
62,70357,70357,0
63,70358,70358,0
64,70359,70359,0
65,70360,70360,0
66,70361,70361,0
67,70362,70362,0
68,70363,70363,0
69,70364,70364,0
70,70365,70365,0
71,70366,70366,0
72,70367,70367,0
73,70368,70368,0
74,70369,70369,0
75,70370,70370,0
76,70371,70371,0
77,70372,70372,0
78,70373,70373,0
79,70374,70374,0
80,70375,70375,0
81,70376,70376,0
82,70377,70377,0
83,70378,70378,0
84,70379,70379,0
85,70380,70380,0
86,70381,70381,0
87,70382,70382,0
88,70383,70383,0
89,70384,70384,0
90,70385,70385,0
91,70386,70386,0
92,70387,70387,0
93,70388,70388,0
94,70389,70389,0
95,70390,70390,0
96,70391,70391,0
97,70392,70392,0
98,70393,70393,0
99,70394,70394,0
100,70395,70395,0
101,70396,70396,0
102,70397,70397,0
103,70398,70398,0
104,70399,70399,0
105,70400,70400,0
106,70401,70401,0
107,70402,70402,0
108,70403,70403,0
109,70404,70404,0
110,70405,70405,0
111,70406,70406,0
112,70407,70407,0
113,70408,70408,0
114,70409,70409,0
115,70410,70410,0
116,70411,70411,0
117,70412,70412,0
118,70413,70413,0
119,70414,70414,0
120,70415,70415,0
121,70416,70416,0
122,70417,70417,0
123,70418,70418,0
124,70419,70419,0
125,70420,70420,0
126,70421,70421,0
127,70422,70422,0
128,70423,70423,0
129,70424,70424,0
130,70425,70425,0
131,70426,70426,0
132,70427,70427,0
133,70428,70428,0
134,70429,70429,0
135,70430,70430,0
