frame,start,end
41,16101,16108
64,16109,16116
91,16116,16123
17,16124,16131
99,16131,16138
60,16139,16146
103,16146,16153
27,16154,16161
78,16161,16168
92,16169,16176
47,16176,16183
5,16184,16191
68,16192,16199
9,16199,16206
38,16207,16214
76,16214,16221
100,16222,16229
105,16229,16236
114,16237,16244
49,16244,16251
54,16252,16259
72,16259,16266
29,16267,16274
106,16274,16281
87,16282,16289
80,16289,16296
112,16297,16304
14,16304,16311
114,16312,16319
77,16319,16326
17,16327,16334
97,16334,16342
-1,16342,16349
49,16350,16357
8,16357,16364
95,16365,16372
34,16372,16379
17,16380,16387
73,16387,16394
79,16395,16402
89,16402,16409
1,16410,16417
58,16417,16424
13,16425,16432
19,16432,16439
30,16440,16447
23,16447,16454
95,16455,16462
101,16462,16469
114,16470,16477
32,16477,16484
107,16485,16492
47,16493,16500
97,16500,16507
107,16508,16515
17,16515,16522
62,16523,16530
4,16530,16537
67,16538,16545
77,16545,16552
103,16553,16560
8,16560,16567
93,16568,16575
74,16575,16582
59,16583,16590
17,16590,16597
108,16598,16605
91,16605,16612
-1,16613,16620
97,16620,16627
29,16628,16635
52,16635,16643
6,16643,16650
51,16651,16658
68,16658,16665
43,16666,16673
10,16673,16680
110,16681,16688
1,16688,16695
81,16696,16703
84,16703,16710
11,16711,16718
38,16718,16725
5,16726,16733
40,16733,16740
39,16741,16748
62,16748,16755
35,16756,16763
45,16763,16770
41,16771,16778
113,16778,16785
43,16786,16793
109,16794,16801
117,16801,16808
79,16809,16816
66,16816,16823
52,16824,16831
27,16831,16838
110,16839,16846
15,16846,16853
110,16854,16861
56,16861,16868
105,16869,16876
17,16876,16883
72,16884,16891
0,16891,16898
116,16899,16906
20,16906,16913
80,16914,16921
18,16921,16928
57,16929,16936
72,16936,16944
18,16944,16951
59,16952,16959
93,16959,16966
56,16967,16974
74,16974,16981
42,16982,16989
1,16989,16996
70,16997,17004
98,17004,17011
75,17012,17019
67,17019,17026
92,17027,17034
58,17034,17041
109,17042,17049
107,17049,17056
10,17057,17064
101,17064,17071
91,17072,17079
91,17079,17086
81,17087,17094
76,17095,17102
40,17102,17109
42,17110,17117
50,17117,17124
74,17125,17132
12,17132,17139
28,17140,17147
44,17147,17154
99,17155,17162
91,17162,17169
96,17170,17177
80,17177,17184
69,17185,17192
68,17192,17199
2,17200,17207
9,17207,17214
41,17215,17222
51,17222,17229
55,17230,17237
78,17237,17244
89,17245,17252
43,17253,17260
79,17260,17267
21,17268,17275
103,17275,17282
48,17283,17290
55,17290,17297
77,17298,17305
8,17305,17312
51,17313,17320
38,17320,17327
106,17328,17335
29,17335,17342
76,17343,17350
116,17350,17357
100,17358,17365
114,17365,17372
26,17373,17380
117,17380,17387
5,17388,17395
23,17395,17403
101,17403,17410
54,17411,17418
1,17418,17425
57,17426,17433
112,17433,17440
22,17441,17448
84,17448,17455
66,17456,17463
28,17463,17470
86,17471,17478
87,17478,17485
76,17486,17493
116,17493,17500
85,17501,17508
115,17508,17515
66,17516,17523
45,17523,17530
61,17531,17538
84,17538,17545
70,17546,17553
47,17554,17561
49,17561,17568
37,17569,17576
50,17576,17583
8,17584,17591
43,17591,17598
16,17599,17606
55,17606,17613
98,17614,17621
25,17621,17628
10,17629,17636
38,17636,17643
15,17644,17651
59,17651,17658
21,17659,17666
46,17666,17673
105,17674,17681
42,17681,17688
12,17689,17696
2,17696,17704
4,17704,17711
85,17712,17719
112,17719,17726
63,17727,17734
26,17734,17741
84,17742,17749
39,17749,17756
64,17757,17764
74,17764,17771
88,17772,17779
68,17779,17786
103,17787,17794
99,17794,17801
110,17802,17809
108,17809,17816
95,17817,17824
97,17824,17831
68,17832,17839
91,17839,17846
69,17847,17854
97,17855,17862
16,17862,17869
42,17870,17877
31,17877,17884
44,17885,17892
94,17892,17899
105,17900,17907
51,17907,17914
26,17915,17922
104,17922,17929
63,17930,17937
14,17937,17944
11,17945,17952
90,17952,17959
40,17960,17967
105,17967,17974
71,17975,17982
23,17982,17989
67,17990,17997
65,17997,18005
3,18005,18012
101,18013,18020
3,18020,18027
108,18028,18035
99,18035,18042
116,18043,18050
32,18050,18057
116,18058,18065
18,18065,18072
-1,18073,18080
109,18080,18087
8,18088,18095
66,18095,18102
33,18103,18110
100,18110,18117
84,18118,18125
29,18125,18132
36,18133,18140
-1,18140,18147
2,18148,18155
106,18156,18163
87,18163,18170
108,18171,18178
27,18178,18185
75,18186,18193
107,18193,18200
109,18201,18208
61,18208,18215
107,18216,18223
9,18223,18230
47,18231,18238
113,18238,18245
46,18246,18253
15,18253,18260
66,18261,18268
10,18268,18275
64,18276,18283
88,18283,18290
40,18291,18298
76,18298,18306
66,18306,18313
42,18314,18321
37,18321,18328
101,18329,18336
44,18336,18343
112,18344,18351
60,18351,18358
117,18359,18366
78,18366,18373
0,18374,18381
71,18381,18388
51,18389,18396
55,18396,18403
100,18404,18411
59,18411,18418
93,18419,18426
45,18426,18433
55,18434,18441
87,18441,18448
22,18449,18456
76,18457,18464
36,18464,18471
18,18472,18479
9,18479,18486
66,18487,18494
20,18494,18501
33,18502,18509
104,18509,18516
64,18517,18524
58,18524,18531
76,18532,18539
36,18539,18546
91,18547,18554
105,18554,18561
99,18562,18569
58,18569,18576
111,18577,18584
80,18584,18591
11,18592,18599
5,18599,18607
64,18607,18614
38,18615,18622
3,18622,18629
116,18630,18637
84,18637,18644
81,18645,18652
56,18652,18659
27,18660,18667
116,18667,18674
21,18675,18682
36,18682,18689
5,18690,18697
87,18697,18704
42,18705,18712
34,18712,18719
34,18720,18727
76,18727,18734
91,18735,18742
13,18742,18749
40,18750,18757
49,18758,18765
5,18765,18772
98,18773,18780
107,18780,18787
27,18788,18795
34,18795,18802
45,18803,18810
68,18810,18817
84,18818,18825
116,18825,18832
55,18833,18840
80,18840,18847
18,18848,18855
9,18855,18862
36,18863,18870
85,18870,18877
9,18878,18885
8,18885,18892
13,18893,18900
49,18900,18907
14,18908,18915
27,18916,18923
109,18923,18930
56,18931,18938
115,18938,18945
111,18946,18953
53,18953,18960
29,18961,18968
8,18968,18975
108,18976,18983
60,18983,18990
57,18991,18998
10,18998,19005
52,19006,19013
5,19013,19020
41,19021,19028
20,19028,19035
86,19036,19043
8,19043,19050
46,19051,19058
51,19058,19066
101,19066,19073
12,19074,19081
52,19081,19088
42,19089,19096
49,19096,19103
78,19104,19111
70,19111,19118
6,19119,19126
42,19126,19133
75,19134,19141
16,19141,19148
36,19149,19156
66,19156,19163
14,19164,19171
75,19171,19178
23,19179,19186
114,19186,19193
28,19194,19201
59,19201,19208
72,19209,19216
76,19217,19224
26,19224,19231
82,19232,19239
89,19239,19246
72,19247,19254
84,19254,19261
5,19262,19269
77,19269,19276
61,19277,19284
38,19284,19291
55,19292,19299
98,19299,19306
9,19307,19314
75,19314,19321
70,19322,19329
107,19329,19336
36,19337,19344
32,19344,19351
84,19352,19359
35,19359,19367
100,19367,19374
11,19375,19382
25,19382,19389
62,19390,19397
56,19397,19404
114,19405,19412
28,19412,19419
84,19420,19427
92,19427,19434
69,19435,19442
8,19442,19449
67,19450,19457
87,19457,19464
107,19465,19472
78,19472,19479
111,19480,19487
16,19487,19494
74,19495,19502
103,19502,19509
33,19510,19517
77,19518,19525
42,19525,19532
106,19533,19540
4,19540,19547
109,19548,19555
2,19555,19562
109,19563,19570
37,19570,19577
11,19578,19585
48,19585,19592
18,19593,19600
23,19600,19607
3,19608,19615
53,19615,19622
68,19623,19630
65,19630,19637
106,19638,19645
70,19645,19652
4,19653,19660
16,19660,19668
55,19668,19675
114,19676,19683
1,19683,19690
49,19691,19698
115,19698,19705
32,19706,19713
83,19713,19720
25,19721,19728
61,19728,19735
60,19736,19743
106,19743,19750
64,19751,19758
58,19758,19765
103,19766,19773
35,19773,19780
54,19781,19788
108,19788,19795
98,19796,19803
21,19803,19810
67,19811,19818
82,19819,19826
101,19826,19833
35,19834,19841
115,19841,19848
39,19849,19856
50,19856,19863
110,19864,19871
113,19871,19878
65,19879,19886
27,19886,19893
102,19894,19901
70,19901,19908
60,19909,19916
37,19916,19923
9,19924,19931
24,19931,19938
86,19939,19946
39,19946,19953
74,19954,19961
51,19961,19969
100,19969,19976
16,19977,19984
44,19984,19991
58,19992,19999
32,19999,20006
83,20007,20014
86,20014,20021
30,20022,20029
99,20029,20036
50,20037,20044
79,20044,20051
81,20052,20059
4,20059,20066
