orientation,spatial_frequency,phase,start,end
90.0,0.32,0.75,745,752
30.0,0.08,0.25,753,760
90.0,0.04,0.0,760,767
30.0,0.02,0.75,768,775
60.0,0.16,0.5,775,782
120.0,0.08,0.75,783,790
0.0,0.04,0.0,790,797
90.0,0.08,0.25,798,805
90.0,0.08,0.0,805,813
,,,813,820
0.0,0.02,0.25,821,828
120.0,0.16,0.75,828,835
150.0,0.32,0.5,836,843
90.0,0.32,0.25,843,850
60.0,0.02,0.75,851,858
60.0,0.16,0.0,858,865
60.0,0.08,0.0,866,873
120.0,0.16,0.0,873,880
120.0,0.16,0.75,881,888
0.0,0.08,0.75,888,895
120.0,0.08,0.0,896,903
120.0,0.16,0.5,903,910
120.0,0.16,0.25,911,918
60.0,0.16,0.25,918,925
120.0,0.04,0.5,926,933
30.0,0.04,0.75,933,940
0.0,0.04,0.25,941,948
30.0,0.08,0.75,948,955
30.0,0.04,0.0,956,963
,,,964,971
120.0,0.16,0.25,971,978
150.0,0.16,0.25,979,986
90.0,0.16,0.25,986,993
0.0,0.32,0.75,994,1001
60.0,0.04,0.0,1001,1008
0.0,0.04,0.75,1009,1016
0.0,0.16,0.25,1016,1023
60.0,0.02,0.25,1024,1031
30.0,0.16,0.75,1031,1038
0.0,0.04,0.75,1039,1046
30.0,0.16,0.5,1046,1053
60.0,0.16,0.0,1054,1061
90.0,0.16,0.75,1061,1068
0.0,0.16,0.0,1069,1076
150.0,0.02,0.75,1076,1083
60.0,0.08,0.0,1084,1091
60.0,0.32,0.25,1091,1098
90.0,0.02,0.5,1099,1106
30.0,0.32,0.5,1106,1114
120.0,0.02,0.25,1114,1121
30.0,0.04,0.75,1122,1129
0.0,0.16,0.25,1129,1136
60.0,0.08,0.25,1137,1144
0.0,0.16,0.5,1144,1151
0.0,0.16,0.25,1152,1159
60.0,0.16,0.5,1159,1166
0.0,0.16,0.25,1167,1174
120.0,0.04,0.5,1174,1181
60.0,0.32,0.25,1182,1189
60.0,0.04,0.0,1189,1196
120.0,0.04,0.25,1197,1204
120.0,0.08,0.25,1204,1211
30.0,0.32,0.25,1212,1219
120.0,0.04,0.75,1219,1226
120.0,0.08,0.0,1227,1234
0.0,0.04,0.0,1234,1241
30.0,0.08,0.75,1242,1249
150.0,0.32,0.5,1249,1256
120.0,0.04,0.0,1257,1264
60.0,0.04,0.5,1265,1272
120.0,0.02,0.0,1272,1279
30.0,0.02,0.0,1280,1287
150.0,0.04,0.5,1287,1294
0.0,0.32,0.0,1295,1302
60.0,0.02,0.75,1302,1309
90.0,0.04,0.25,1310,1317
0.0,0.04,0.75,1317,1324
0.0,0.02,0.25,1325,1332
120.0,0.08,0.0,1332,1339
0.0,0.32,0.75,1340,1347
